id,C,D,E,F,G,H,I,J,K,L,M,N,O,Q,R,S,U,V,W,X,Y,Z,AA,AA,AA,AA,AA,AA,AA,AA,AA
2000000,-2.225897869,-2.613362829,-2.162498355,-2.213853313,-2.203983786,-2.081278337,-2.338113603,-2.240476012,-2.610536865,-2.09130014,-2.17,-2.16,-2.21,-2.68,-2.13,-2.64,-2.60,-2.23,-2.17,-2.73,-2.19,-2.23,-2.64,-2.11,-2.25,-2.69,-2.57,-2.61,-2.61,-2.61,-2.61
2998000,-3.341352148,-3.960084765,-3.279356968,-3.345120956,-3.304984974,-3.144654392,-3.489196152,-3.361102375,-3.963411143,-3.156712448,-3.24,-3.27,-3.30,-4.06,-3.21,-3.97,-3.94,-3.34,-3.25,-4.12,-3.26,-3.35,-3.97,-3.20,-3.38,-4.05,-3.90,-3.97,-3.95,-3.96,-3.95
3996000,-4.446051557,-5.39004575,-4.388697617,-4.474357719,-4.393854132,-4.216355737,-4.648987756,-4.492714275,-5.401338774,-4.247723257,-4.33,-4.37,-4.43,-5.53,-4.28,-5.42,-5.35,-4.46,-4.32,-5.60,-4.34,-4.46,-5.39,-4.29,-4.52,-5.52,-5.32,-5.45,-5.43,-5.36,-5.38
4994000,-5.558859776,-6.869318815,-5.504338287,-5.603842573,-5.508132458,-5.291851839,-5.815986537,-5.606430802,-6.903817901,-5.292055667,-5.41,-5.46,-5.50,-6.97,-5.36,-6.86,-6.77,-5.55,-5.40,-7.07,-5.43,-5.59,-6.81,-5.39,-5.63,-7.11,-6.84,-6.84,-6.83,-6.82,-6.90
5992000,-6.668453452,-8.509447859,-6.617040992,-6.732938509,-6.611600104,-6.35442234,-6.985863338,-6.718936729,-8.585594977,-6.357414136,-6.50,-6.56,-6.60,-8.66,-6.44,-8.65,-8.49,-6.65,-6.46,-8.75,-6.53,-6.70,-8.47,-6.47,-6.78,-8.93,-8.55,-8.70,-8.70,-8.37,-8.61
6990000,-7.78129651,-9.612059359,-7.730314071,-7.868181225,-7.71433891,-7.441259481,-8.155123481,-7.839131714,-10.65595477,-7.446150126,-7.58,-7.67,-7.71,-10.60,-7.52,-10.72,-10.45,-7.76,-7.55,-10.77,-7.61,-7.83,-10.61,-7.59,-7.91,-9.27,-9.38,-9.86,-9.82,-9.34,-8.98
7988000,-8.906651041,-9.331399191,-8.856968541,-9.004740702,-8.82313064,-8.521805273,-9.331985928,-8.982962067,-10.11163689,-8.528024657,-8.66,-8.77,-8.82,-10.69,-8.60,-9.99,-9.83,-8.88,-8.63,-10.84,-8.72,-8.96,-10.31,-8.70,-9.06,-8.76,-8.58,-9.10,-9.07,-9.22,-8.82
8986000,-10.01376855,-9.632287826,-9.98203039,-10.15628406,-9.935014644,-9.618510161,-10.50824046,-10.10978301,-10.07079789,-9.612274288,-9.76,-9.88,-9.93,-11.50,-9.71,-9.84,-10.08,-10.01,-9.72,-11.83,-9.81,-10.09,-10.85,-9.82,-10.20,-9.77,-9.54,-9.50,-9.40,-10.10,-9.81
9984000,-11.15223007,-10.77691577,-11.12469453,-11.3039068,-11.05146131,-10.70032554,-11.69674756,-11.25978682,-9.781855684,-10.70079706,-10.87,-11.00,-11.05,-10.25,-10.81,-9.52,-9.95,-11.12,-10.81,-11.10,-10.92,-11.23,-9.77,-10.93,-11.35,-10.89,-10.86,-10.55,-10.60,-11.15,-11.23
10982000,-12.2946341,-12.26545633,-12.2614076,-12.47038458,-12.17865242,-11.80074907,-12.88601003,-12.40513663,-11.11046734,-11.80158986,-11.97,-12.13,-12.18,-11.95,-11.91,-11.43,-11.79,-12.26,-11.91,-12.86,-12.03,-12.38,-11.91,-12.06,-12.51,-12.90,-12.47,-12.39,-12.53,-12.52,-12.97
11980000,-13.43828338,-13.67448434,-13.40980651,-13.63748838,-13.3173028,-12.90373804,-14.07939835,-13.5599473,-12.69338242,-12.90597422,-13.09,-13.25,-13.30,-13.37,-13.03,-12.78,-13.06,-13.40,-13.03,-14.12,-13.17,-13.53,-13.16,-13.20,-13.67,-13.54,-13.18,-13.62,-13.69,-13.55,-13.71
12978000,-14.58781162,-15.08852226,-14.57273631,-14.81218807,-14.45901763,-14.02666227,-15.28759766,-14.72050619,-14.14915549,-14.02844325,-14.21,-14.39,-14.45,-14.76,-14.14,-14.34,-14.50,-14.55,-14.14,-15.90,-14.29,-14.70,-14.52,-14.35,-14.85,-15.03,-14.60,-15.27,-15.28,-15.07,-15.13
13976000,-15.75166053,-15.99906854,-15.74574329,-16.00459097,-15.60955858,-15.15995542,-16.50596488,-15.89695921,-14.96694813,-15.1671916,-15.34,-15.55,-15.60,-15.28,-15.27,-14.85,-15.21,-15.71,-15.25,-16.52,-15.43,-15.87,-15.28,-15.51,-16.03,-15.89,-15.48,-15.64,-15.71,-15.91,-16.04
14974000,-16.92595885,-17.32852931,-16.93145662,-17.19178643,-16.76796557,-16.28361163,-17.7467974,-17.07397701,-16.22694837,-16.29511144,-16.49,-16.71,-16.76,-16.36,-16.42,-16.12,-16.39,-16.86,-16.39,-17.59,-16.58,-17.05,-16.39,-16.67,-17.23,-17.39,-16.94,-17.00,-17.09,-17.55,-17.59
15972000,-18.10475915,-18.94407028,-18.12570612,-18.40518315,-17.93998994,-17.44641192,-18.98143767,-18.28816378,-17.70784721,-17.44175406,-17.63,-17.88,-17.94,-17.94,-17.58,-17.66,-17.91,-18.05,-17.55,-19.27,-17.73,-18.25,-17.89,-17.86,-18.43,-19.09,-18.64,-18.60,-18.71,-19.18,-19.27
16970000,-19.31015277,-20.19300847,-19.32987535,-19.64042486,-19.13239238,-18.60147412,-20.23528926,-19.50131121,-18.99784466,-18.60323862,-18.80,-19.06,-19.13,-19.09,-18.75,-18.93,-19.19,-19.26,-18.69,-20.43,-18.92,-19.46,-19.04,-19.05,-19.66,-20.27,-19.78,-19.80,-19.91,-20.32,-20.40
17968000,-20.51894025,-21.65996256,-20.54527948,-20.86738025,-20.32643073,-19.77780396,-21.50522532,-20.71910433,-20.33978038,-19.78539213,-19.99,-20.27,-20.32,-20.40,-19.94,-20.31,-20.57,-20.45,-19.86,-21.91,-20.10,-20.67,-20.36,-20.26,-20.88,-21.57,-21.05,-21.33,-21.44,-21.66,-21.72
18966000,-21.7400404,-23.53864201,-21.79236305,-22.12368722,-21.53174007,-20.96842741,-22.80143724,-21.96159415,-21.83335762,-20.96151207,-21.18,-21.48,-21.55,-21.94,-21.13,-21.88,-22.10,-21.68,-21.05,-23.70,-21.32,-21.92,-21.87,-21.48,-22.14,-23.44,-22.84,-23.15,-23.30,-23.58,-23.63
19964000,-22.98279033,-25.30613633,-23.03502378,-23.39775101,-22.77763377,-22.16686996,-24.10394414,-23.22108338,-23.33262175,-22.18043688,-22.38,-22.71,-22.77,-23.47,-22.35,-23.44,-23.64,-22.91,-22.25,-25.49,-22.52,-23.17,-23.39,-22.73,-23.40,-25.08,-24.47,-24.89,-25.05,-25.13,-25.21
20962000,-24.24227788,-26.45236437,-24.30298533,-24.69647928,-24.01699,-23.39254943,-25.42673207,-24.51390818,-24.87103636,-23.42406778,-23.61,-23.97,-24.04,-25.10,-23.58,-25.06,-25.31,-24.16,-23.46,-27.35,-23.77,-24.44,-24.94,-23.99,-24.68,-26.53,-25.98,-26.28,-26.51,-26.24,-26.46
21960000,-25.54026975,-27.40468527,-25.60717918,-25.99882126,-25.29811453,-24.6504929,-26.78927615,-25.81928002,-26.42768311,-24.66459082,-24.87,-25.24,-25.31,-26.74,-24.84,-26.70,-26.97,-25.45,-24.70,-29.21,-25.03,-25.73,-26.50,-25.27,-25.98,-27.68,-27.28,-27.39,-27.65,-27.18,-27.43
22958000,-26.82638875,-27.63142881,-26.91720785,-27.32766712,-26.5737976,-25.92526244,-28.14314534,-27.15598093,-28.05854059,-25.939256,-26.14,-26.54,-26.60,-28.42,-26.13,-28.34,-28.64,-26.74,-25.98,-30.87,-26.32,-27.06,-28.12,-26.58,-27.32,-28.44,-28.33,-28.15,-28.31,-27.58,-27.87
23956000,-28.16118524,-28.72968778,-28.26924685,-28.69301551,-27.90007756,-27.21068929,-29.52308131,-28.49129951,-29.65180454,-27.22923311,-27.44,-27.86,-27.91,-30.06,-27.44,-29.95,-30.26,-28.07,-27.26,-32.23,-27.62,-28.40,-29.57,-27.92,-28.65,-29.10,-28.99,-28.76,-28.99,-28.13,-28.69
24954000,-29.47110239,-29.38848495,-29.58436676,-30.04094986,-29.21936693,-28.48250214,-30.91328815,-29.84883365,-31.29249217,-28.53674517,-28.77,-29.19,-29.22,-31.86,-28.73,-31.57,-31.96,-29.39,-28.57,-33.37,-28.91,-29.75,-31.15,-29.24,-30.03,-29.92,-29.82,-29.55,-29.60,-28.83,-29.46
25952000,-30.85802266,-30.17429317,-30.99453857,-31.46074411,-30.58754153,-29.82477748,-32.36068806,-31.2418528,-32.91282706,-29.87931598,-30.07,-30.54,-30.60,-33.56,-30.09,-33.31,-33.66,-30.74,-29.87,-34.24,-30.28,-31.11,-32.73,-30.62,-31.39,-30.80,-30.71,-30.54,-30.60,-29.83,-30.37
26950000,-32.2554274,-30.8270155,-32.42862505,-32.89701538,-31.9818025,-31.21056494,-33.84184297,-32.6992754,-34.50012977,-31.26287899,-31.43,-31.93,-32.00,-35.04,-31.48,-34.80,-35.07,-32.15,-31.20,-34.94,-31.66,-32.55,-34.03,-32.05,-32.82,-31.50,-31.40,-30.97,-31.22,-30.87,-31.01
27948000,-33.69912064,-32.00661984,-33.89178925,-34.37724421,-33.39335641,-32.60923472,-35.36135896,-34.1649042,-36.24561893,-32.68592917,-32.84,-33.36,-33.44,-36.32,-32.92,-36.29,-36.50,-33.58,-32.61,-36.00,-33.07,-33.99,-35.14,-33.49,-34.29,-32.78,-32.65,-32.23,-32.60,-32.16,-32.41
28946000,-35.19317465,-32.65501816,-35.38259948,-35.88793153,-34.86238473,-34.05763161,-36.89292343,-35.7058689,-37.94505002,-34.10212496,-34.25,-34.84,-34.90,-38.05,-34.38,-38.04,-38.16,-35.05,-34.03,-37.69,-34.53,-35.49,-36.75,-34.98,-35.76,-34.04,-34.15,-33.64,-33.98,-33.42,-33.80
29944000,-36.69561006,-33.70728872,-36.89740328,-37.42982369,-36.36746758,-35.52101392,-38.47031134,-37.25119358,-39.9146236,-35.58189564,-35.75,-36.35,-36.42,-40.51,-35.87,-39.67,-39.14,-36.57,-35.49,-37.54,-36.04,-37.01,-38.79,-36.52,-37.30,-34.58,-34.40,-33.88,-34.12,-33.93,-34.35
30942000,-38.26243607,-34.80160015,-38.46056732,-39.01210138,-37.90439953,-37.05366753,-40.08391551,-38.855598,-41.92541763,-37.13651061,-37.26,-37.89,-37.96,-42.53,-37.39,-40.55,-39.23,-38.10,-37.00,-37.39,-37.55,-38.58,-40.40,-38.06,-38.86,-35.74,-35.32,-34.94,-35.21,-35.06,-35.51
31940000,-39.84969325,-36.33839852,-40.06314798,-40.61276599,-39.50739631,-38.6264967,-41.73906712,-40.48438146,-43.70080678,-38.70702807,-38.81,-39.47,-39.55,-44.60,-39.00,-40.62,-38.88,-39.71,-38.54,-37.31,-39.14,-40.18,-41.90,-39.68,-40.46,-37.30,-36.67,-36.39,-36.69,-36.53,-37.03
32938000,-41.49799253,-37.82476716,-41.71100885,-42.29887453,-41.133907,-40.21171425,-43.4518126,-42.16624106,-45.07253249,-40.33468978,-40.42,-41.12,-41.18,-45.47,-40.62,-40.47,-38.78,-41.35,-40.12,-38.14,-40.76,-41.85,-42.66,-41.35,-42.12,-38.88,-38.21,-38.03,-38.37,-38.12,-38.66
33936000,-43.23373288,-39.59721742,-43.40486353,-44.00712787,-42.83953477,-41.8771585,-45.20508812,-43.88513766,-46.48354374,-41.97793491,-42.07,-42.81,-42.89,-46.55,-42.35,-40.55,-39.18,-43.03,-41.76,-39.47,-42.46,-43.58,-43.68,-43.05,-43.82,-40.57,-39.85,-39.85,-40.23,-39.81,-40.37
34934000,-45.00270889,-41.47732466,-45.12440787,-45.77029973,-44.60356306,-43.61272952,-47.02953592,-45.66525723,-47.60942967,-43.7175089,-43.81,-44.57,-44.64,-49.42,-44.11,-40.53,-39.75,-44.82,-43.48,-40.59,-44.22,-45.38,-45.92,-44.83,-45.62,-42.34,-41.56,-41.47,-41.88,-41.50,-42.12
35932000,-46.8294984,-43.51439148,-46.90649423,-47.57226743,-46.46371656,-45.42838127,-48.90507377,-47.50167104,-47.87319335,-45.54231111,-45.61,-46.39,-46.47,-50.58,-45.94,-40.91,-40.80,-46.63,-45.23,-42.45,-46.04,-47.23,-47.01,-46.68,-47.45,-44.27,-43.44,-43.23,-43.71,-43.36,-44.11
36930000,-48.68891714,-45.56232542,-48.7607716,-49.45537756,-48.33717806,-47.30447786,-50.84388208,-49.36131169,-47.9158762,-47.44005489,-47.49,-48.29,-48.36,-50.13,-47.81,-41.91,-42.30,-48.53,-47.08,-44.57,-47.92,-49.12,-47.58,-48.61,-49.34,-46.28,-45.47,-45.29,-45.79,-45.31,-46.18
37928000,-50.6078471,-47.64503588,-50.68329175,-51.39638592,-50.20264148,-49.17863882,-52.83938302,-51.30890409,-48.05000994,-49.32006478,-49.41,-50.27,-50.35,-49.22,-49.81,-43.36,-43.98,-50.46,-49.02,-46.47,-49.85,-51.05,-48.50,-50.56,-51.25,-48.38,-47.55,-47.43,-47.95,-47.40,-48.37
38926000,-52.68503671,-49.80562316,-52.67672073,-53.43683877,-52.21987638,-51.08172183,-54.91461927,-53.30901711,-48.68841858,-51.29020528,-51.43,-52.33,-52.41,-49.47,-51.92,-44.93,-45.70,-52.51,-51.04,-48.24,-51.88,-53.09,-49.86,-52.62,-53.29,-50.49,-49.69,-49.57,-50.12,-49.48,-50.57
39924000,-54.87325588,-51.93590204,-54.75360741,-55.5122573,-54.38490123,-53.21826387,-57.07619631,-55.39068264,-49.44386007,-53.45750393,-53.60,-54.54,-54.61,-48.93,-54.14,-46.60,-47.55,-54.70,-53.17,-49.84,-54.04,-55.30,-51.38,-54.82,-55.46,-52.64,-51.91,-51.77,-52.40,-51.55,-52.73
40922000,-57.27492746,-53.97278788,-56.9233994,-57.68624087,-56.72312739,-55.51759158,-59.31569432,-57.56447522,-50.22033476,-55.78435654,-55.90,-56.87,-56.99,-49.18,-56.51,-48.55,-49.51,-57.07,-55.44,-51.22,-56.40,-57.64,-52.73,-57.15,-57.77,-54.80,-54.10,-53.89,-54.57,-53.63,-54.80
41920000,-59.79241115,-55.68413204,-59.29666024,-59.95411077,-59.15686784,-57.96170503,-61.67207054,-59.81646558,-51.3812197,-58.24075407,-58.29,-59.31,-59.39,-49.94,-58.94,-50.68,-51.64,-59.53,-57.82,-53.01,-58.86,-60.11,-53.83,-59.57,-60.11,-57.02,-56.26,-56.03,-56.69,-55.67,-56.99
42918000,-62.43617451,-57.61176709,-61.68894321,-62.33623476,-61.62945476,-60.47883089,-64.12217348,-62.23182145,-52.91063052,-60.76822156,-60.82,-61.87,-62.02,-51.29,-61.56,-52.96,-53.90,-62.16,-60.35,-55.18,-61.50,-62.68,-55.20,-62.19,-62.60,-59.13,-58.42,-58.13,-58.89,-57.90,-59.14
43916000,-65.2274315,-59.83150976,-64.1807639,-64.81918213,-64.38729582,-63.18625604,-66.65137126,-64.77255202,-54.71298253,-63.53415585,-63.54,-64.70,-64.86,-52.92,-64.43,-55.23,-56.21,-64.98,-63.02,-57.68,-64.25,-65.47,-57.06,-64.99,-65.36,-61.28,-60.82,-60.29,-61.03,-60.31,-61.40
44914000,-68.11135847,-61.95497682,-66.83278293,-67.38137211,-67.15015101,-65.8723722,-69.27417173,-67.38751473,-56.65923393,-66.41449114,-66.52,-67.72,-67.93,-54.89,-67.49,-57.66,-58.62,-67.95,-66.00,-60.30,-67.20,-68.44,-58.74,-67.99,-68.31,-63.48,-62.95,-62.31,-63.14,-62.57,-63.64
45912000,-71.45984981,-64.57471184,-69.58403126,-70.01673917,-70.45817493,-69.07186248,-72.03091074,-70.12863407,-58.76030503,-69.77935462,-69.80,-71.12,-71.29,-57.29,-70.87,-60.12,-61.11,-71.33,-69.36,-63.15,-70.62,-71.77,-60.82,-71.36,-71.54,-66.12,-65.55,-65.11,-65.97,-65.27,-66.50
46910000,-75.05331536,-67.0537169,-72.45092101,-72.65784437,-73.46075889,-72.32360802,-74.83507948,-73.01347235,-61.05235226,-73.07879944,-73.17,-74.62,-74.85,-59.82,-74.50,-62.87,-63.75,-74.81,-72.78,-66.02,-74.10,-75.20,-62.82,-74.93,-74.97,-68.85,-68.36,-67.97,-68.85,-67.74,-69.30
47908000,-78.94729182,-69.89552796,-75.41825319,-75.25765053,-76.40862647,-75.6751004,-77.61123291,-76.09062604,-63.4678177,-76.8121951,-76.85,-78.40,-78.79,-62.52,-78.52,-65.79,-66.48,-78.70,-76.51,-68.64,-78.01,-78.99,-64.97,-78.77,-78.68,-71.42,-71.36,-70.81,-71.73,-70.39,-71.88
48906000,-83.60447899,-72.48125103,-78.62053361,-77.75862164,-79.61008578,-79.68677556,-80.37968013,-79.32848289,-66.01088158,-80.47729824,-80.67,-82.57,-82.70,-65.48,-82.57,-68.93,-69.36,-82.63,-80.24,-70.96,-82.25,-82.75,-67.34,-82.49,-82.17,-74.15,-74.48,-73.39,-74.32,-72.87,-74.35
49904000,-87.95198172,-74.73102756,-82.07176562,-80.10444023,-81.99502082,-83.06745732,-83.26285797,-82.70720798,-68.68500409,-84.00570329,-84.59,-86.31,-85.71,-68.55,-86.21,-72.22,-72.39,-85.60,-82.76,-73.44,-85.79,-85.84,-69.63,-85.83,-84.95,-76.66,-77.11,-75.36,-76.23,-74.76,-76.51
50902000,-91.2757223,-75.09950779,-85.73654211,-82.15415669,-85.07414443,-85.66292194,-85.80111542,-86.27002923,-70.97457531,-87.27287588,-88.06,-89.37,-88.11,-71.77,-89.32,-75.90,-75.53,-89.44,-85.47,-76.50,-88.46,-89.07,-72.15,-89.29,-87.80,-78.31,-78.62,-76.11,-76.89,-75.80,-78.21
51900000,-96.72787713,-76.1632332,-89.70203843,-83.68977861,-90.26390073,-90.94429406,-87.92683694,-89.88484712,-73.54059554,-92.83897873,-93.81,-95.07,-93.47,-75.12,-95.32,-79.57,-78.83,-95.34,-90.90,-80.29,-93.89,-94.22,-74.66,-94.86,-92.74,-79.69,-79.43,-77.53,-78.49,-77.46,-79.74
52898000,-104.032892,-78.85106845,-93.94357343,-84.73769219,-94.97121447,-97.35659947,-89.5803325,-93.2250371,-76.19332298,-99.95234617,-100.96,-102.28,-100.23,-78.92,-102.70,-82.68,-82.06,-102.07,-97.42,-83.78,-100.53,-100.56,-77.45,-101.26,-98.46,-81.55,-80.95,-80.68,-81.59,-79.92,-82.26
53896000,-112.6924241,-80.44475045,-98.31581494,-85.56998731,-100.6087935,-103.9677638,-90.86411207,-96.04272528,-78.60398221,-107.5839335,-108.60,-110.91,-106.97,-82.28,-111.11,-86.07,-85.66,-109.67,-104.45,-87.22,-107.32,-107.06,-79.81,-108.27,-104.00,-83.00,-82.58,-82.67,-83.20,-81.15,-83.79
54894000,-123.1359672,-81.91877754,-102.3265485,-86.60160487,-103.5020274,-109.5536028,-92.1420264,-98.06553784,-80.83420213,-116.4461935,-115.41,-120.99,-113.11,-85.29,-120.48,-88.53,-88.67,-117.76,-112.22,-90.14,-115.35,-114.41,-82.42,-117.56,-110.97,-82.77,-82.17,-83.91,-84.67,-81.76,-84.75
55892000,-132.9011501,-82.93201342,-105.0522837,-88.35956734,-97.09865771,-113.6092423,-93.88380157,-98.88567806,-83.07534583,-124.3025019,-118.46,-132.41,-115.92,-89.35,-130.52,-89.41,-90.74,-121.99,-117.58,-94.34,-120.03,-120.16,-85.56,-127.67,-116.87,-82.81,-81.76,-85.74,-86.80,-82.69,-85.94
56890000,-98.15038883,-85.56012375,-105.5720597,-91.32700996,-75.25789967,-103.6048024,-96.74953837,-99.06234653,-85.93597907,-126.6132612,-97.60,-136.39,-97.52,-93.87,-114.97,-88.43,-91.53,-90.62,-104.09,-96.01,-92.75,-102.94,-88.91,-125.71,-111.01,-84.75,-83.57,-89.04,-90.27,-84.93,-88.45
57888000,-40.09807861,-88.62589552,-103.8464436,-95.58458726,-60.73089571,-62.16894606,-100.9132326,-99.74678613,-89.18227458,-71.86109269,-49.71,-50.30,-61.02,-94.85,-45.26,-86.89,-91.43,-51.14,-53.54,-90.41,-57.18,-68.58,-92.30,-62.39,-80.56,-86.63,-85.26,-91.97,-93.22,-87.07,-90.46
58886000,-48.1685904,-90.95938156,-102.3844274,-100.9669965,-61.54636488,-55.470974,-106.3876293,-102.1399842,-91.95242054,-46.15765821,-49.98,-42.61,-57.88,-92.01,-49.80,-82.59,-90.15,-53.38,-49.15,-83.50,-58.75,-62.98,-95.60,-50.27,-65.38,-89.87,-88.48,-95.63,-97.15,-90.45,-93.65
